id,type,title,url,content,note,tags,created
1Hog0NZPLVO7VgT,Image,Music Publishing 101 Presentation Slide,,,,"Music Biz,streaming,licensing,music industry,digital media,income streams,education,presentation,royalties,music publishing",2024-09-25T19:33:53Z
1Hog0NZPLVO883G,Image,Guide to Music Publishing,,,,"Music Biz,digital performance,symphony,music industry,recording,composition,royalties,infographic,music publishing",2024-09-25T19:33:53Z
1Hog0NZPLVObi7A,Image,Let's Make A Deal Presentation Slide,,,,"Music Biz,symphony,negotiation,publishing,business,presentation,deal terms,contract,music industry",2024-09-25T19:33:53Z
1Hog0NZPLVObqE5,Image,Building a Team Slide,,,,"Music Biz,collaboration,professional services,symphony,infographic,purple background,business roles,presentation,music industry,team building,graphic design",2024-09-25T19:33:53Z
1Hog0NZPLVOck3t,Image,Collaboration is Key,,,,"Music Biz,corporate,purple,artist relations,co-production,symphony,teamwork,presentation,music industry,collaboration",2024-09-25T19:33:53Z
1Hog0NZPQuOtOj8,Image,James Blake Concert Giveaway Marketing Example,,,,"Swipe file,secret venue,intimate show,san francisco,event,social media,music,james blake,giveaway,concert",2024-09-25T23:57:38Z
1Hog0NZPQuOyd5F,Image,James Blake Marketing Example,,,,"Swipe file,ticket sales,live performance,instagram,event announcement,san francisco,music,concert,james blake",2024-09-25T23:57:38Z
1Hog0NZQgVH7xTm,WebPage,United Record Pressing - record/vinyl,https://www.urpressing.com/,,,"Product,Vinyl Records,Audio Engineering,Nashville,Record Production,Music Industry,Vinyl Pressing,Music Production",2024-09-27T01:24:58Z
1Hog0NZQVtpbW2Y,TikTokPost,UGC baby mama drama,https://www.tiktok.com/t/ZTFS67NpC/,,,"UGC,Content hooks,videos,user engagement,features,duets,TikTok,trends,music,Social Media,Uhn),+,(Ry,Ryon,@Kennedy,with,altrnb,duet",2024-09-28T16:27:35Z
1Hog0NZQYUaFSVo,WebPage,elasticStage - On-Demand Vinyl and CDs,https://elasticstage.com/,,,"Vinyl,Product,organization tools,business resources,team efficiency,continuous improvement,performance management,Business",2024-09-28T19:45:52Z
1Hog0NZSuCr7bsO,Image,The Stages of Finding and Hiring VAs,,,,"hiring,business,onlinejobs.ph,test project,interview,job posting,infographic,recruitment,hiring process,virtual assistant",2024-10-02T14:00:41Z
1Hog0NZTPBOJtX2,Image,Day Trading Attention Book Cover,,,,"Books,self-help,bestseller,sales,branding,business,Gary Vaynerchuk,social media,marketing,book",2024-10-05T21:55:52Z
1Hog0NZU7RJ4hmC,Image,7 Sins of Investing,,,,"financial literacy,market behavior,risk management,financial mistakes,investment advice,stocks,finance,investing",2024-10-06T15:30:44Z
1Hog0NZU7RJ4PsF,Image,Investment Book List for Beginners,,,,"investing,value investing,behavioral finance,Warren Buffett,Wall Street,beginner investing,reading list,books,finance,investment",2024-10-06T15:30:44Z
1Hog0NZVu42bBHm,WebPage,"Cerebrella: Sticky Notes, Whiteboard, Research, and Visuals",https://cerebrella.com/?ref=taaft,,,"organization tools,focus,brain,enhancement,cognitive,minerals,vitamins,natural ingredients,green,blue,white,Health",2024-10-10T00:35:44Z
1Hog0NZVu5dqFqT,WebPage,LocalFile.io,https://localfile.io/en/run/rename/?ref=taaft,,,"organization tools,AI Tool,Productivity,Automation,Bulk Rename,File Management,Gray,Blue,Software",2024-10-10T00:36:50Z
1Hog0NZVwlB5ZU1,Image,Shirt Shanty Delivery Box,,,,"Merch Vendors,order,branding,wooden floor,packaging,custom t-shirts,delivery,cardboard box,shirt shanty",2024-10-10T02:47:40Z
1Hog0NZVJF1u9mt,TikTokPost,,https://www.tiktok.com/t/ZTF5EvvVe/,,,"Ego UGC,Viral,Engagement,Atlanta,Miami,Content Creator,Influencer,TikTok,digital,black,blue,pink,Social Media,halloween,grwm,transition,tempestroshelle",2024-10-10T15:36:54Z
1Hog0NZW9htjAZ3,Image,Ad Spend Analysis for Content Reach,,,,"Ads,cost per day,campaign duration,audience growth,marketing strategy,budget planning,social media advertising,ROI analysis,digital marketing,content reach,ad spend",2024-10-11T16:17:15Z
1Hog0NZXJKwtDQv,Video,Section 8 housing investment strategy,,,,"investing,TikTok",2024-10-15T15:06:47Z
1Hog0O00xXx1I9Z,Post,News Format Marketing Example,https://www.instagram.com/p/DBZQedMxd7U/?igsh=anp4aGsxcmdhZ3J3,,,"Marketing examples,Swipe file,St. Louis,hip-hop,inspiration,tour,St. Lunatics,Nelly,AJ McQueen,Artist Influence,Touring,Music,GODBODY,AJTHEGREAT",2024-10-22T14:52:39Z
1Hog0O00JeDOhwb,Image,Twitter Music Recommendation,,,,"Testimonials,old school music,tweet,social media,R&B,Kennedy Ryon,music recommendation,twitter",2024-10-23T01:44:11Z
1Hog0O01PkaKxA1,Image,Leon Thomas VIP Package Poster,,,,"Swipe file,meet and greet,merchandise,promotional,music,2024,live performance,leon thomas,VIP package,concert",2024-10-25T19:18:23Z
1Hog0O06BaTacQE,Image,Ruger Security-380 IWB Gun Holster,,,,"e-commerce,made in USA,tactical gear,gun holster,concealed carry,iwb,security-380,ruger,firearm accessory,holster",2024-11-06T16:12:40Z
1Hog0O07maUsyzI,TikTokPost,,https://www.tiktok.com/t/ZTFTgM4Y2/,,,"Automation,unique,innovation,TikTok,viral,trending,metal,plastic,green,blue,pink,Beauty,nataliechoprasert,brandnat,onlinetools,techtools,tools,chromeextension,webscrapping,webscraper",2024-11-08T13:28:22Z
1Hog0O07mcqNZ9e,TikTokPost,,https://www.tiktok.com/t/ZTFTbofbj/,,,"Automation,popular,product,TikTok,trending,viral,metal,plastic,green,blue,red,Lifestyle,nataliechoprasert,brandnat,aitools,artificialintelligence,ai,youchatpartner",2024-11-08T13:29:47Z
1Hog0O07mjJhyTs,TikTokPost,,https://www.tiktok.com/t/ZTFTgd7sy/,,,"Automation,casual,style,trendy,comfortable,fashion,sneakers,rubber,canvas,red,blue,white,black,Footwear,nataliechoprasert,brandnat,chromeext,productivity,wfh,business,aitools,ai,artificialintelligence,tango,tangous,trytango",2024-11-08T13:36:35Z
1Hog0O07E4ybvzD,TikTokPost,,https://www.tiktok.com/t/ZTFwp7K9s/,,,"Automation,business,tutorials,productivity,AI,Technology,aiforsales,chatgptprompts,learnai,aiforbeginners,aiforbusiness,artificialintelligence,aitools,chatgpt",2024-11-09T06:42:29Z
1Hog0O07E5y6OyU,TikTokPost,,https://www.tiktok.com/t/ZTFws1cEF/,,,"Automation,Artificial Intelligence,Tools,Content Creation,Productivity,AI,Productivity Techniques,ChatGPT,AI Tools,Technology,chatgptprompts,learnai,aiforbeginners,aiforbusiness,artificialintelligence,aitools,chatgpt",2024-11-09T06:43:24Z
1Hog0O07E6FToco,TikTokPost,,https://www.tiktok.com/t/ZTFwpW4Uw/,,,"Automation,Content Creation,Creativity,Video Sharing,TikTok,Social Media,aiautomation,chatgpt,learnai,aiforbusiness,nocode,aitools,jotformpartner",2024-11-09T06:44:27Z
1Hog0O07E93hBHD,TikTokPost,,https://www.tiktok.com/t/ZTFwpWTWb/,,,"Automation,Workflows,Tech,Business Tools,Zapier,Productivity,AI,Productivity Enhancement,Business Automation,AI Tools,Technology,zapierpartner,productivitytips,notiontutorial,aiautomation,aitutorial,chatgpt,learnai,aiforbusiness,aitools",2024-11-09T06:46:40Z
1Hog0O07EfgIHgZ,TikTokPost,,https://www.tiktok.com/t/ZTFws5L2t/,,,"Automation,Workflows,Efficiency,Tech Tools,Business,Productivity,AI,Business Automation,Time Management,AI Tools,Technology,aitools,businessautomation,marketingops,aiforbusiness,aitutorial,artificialintelligence,aiautomation",2024-11-09T06:52:28Z
1Hog0O07EgYlGgf,TikTokPost,,https://www.tiktok.com/t/ZTFwsmy8b/,,,"Automation,growth marketing,online business,AI tools,TikTok,Digital Marketing,AI Technology,Social Media,aiwebsites,growthmarketing,onlinebusiness,aiautomation,aitools",2024-11-09T06:54:03Z
1Hog0O09uWAMjTS,WebPage,Machine Learning Crash Course  |  Google Developers,https://developers.google.com/machine-learning/crash-course,,,"Learning,Deep Learning,Hands-on Experience,Training,Google,Data Science,Artificial Intelligence,Machine Learning,Education",2024-11-13T21:19:47Z
1Hog0O09uXbfv7j,WebPage,JKBX | Music investing,https://www.jkbx.com/,,,"music investment,financial assets,music industry,passive income,Royalty Shares,investment platform,music royalties,Investing",2024-11-13T21:20:20Z
1Hog0O09ZHppCho,Image,Music Project Budget Breakdown Tweet,,,,"marketing strategy,artist advice,Twitter,social media,music videos,EP production,budget allocation,music industry",2024-11-15T02:56:49Z
1Hog0O09ZJyBP3b,Image,LaRussell's Music Promotion Budget Breakdown,,,,"marketing strategy,LaRussell,digital advertising,music industry,social media marketing,instagram,youtube,spotify,budget,music promotion",2024-11-15T02:58:49Z
1Hog0O09ZK04Aca,Image,Music Production Budget Breakdown Tweet,,,,"marketing strategy,music industry,viral content,content creation,marketing,social media,TikTok,budget,music production",2024-11-15T02:59:14Z
1Hog0O0aiZh8yNT,WebPage,TextMine: AI powered knowledge base for your business critical documents,https://textmine.com/,,,"Automation,Business Solutions,Compliance,Data Extraction,AI Technology,Document Management,Software",2024-11-15T21:31:18Z
1Hog0O0aj01ps4L,WebPage,Music business resources,https://freeartistera.notion.site/Resources-1000-WORTH-7522b998d1924740a6368b21c4cbef48,,,"Software,information,learning,education,value,Learning Tools,Resource Management,Value Assessment,Resources",2024-11-15T21:31:59Z
1Hog0O0aj0v7D0P,WebPage,Free Artist Toolkit,"https://docs.google.com/spreadsheets/u/0/d/1bv4YEMYNzYQ8yPALz0Vtbu3Mo9QcGB1w5eSk436iwX4/htmlview#",,,Software,2024-11-15T21:32:26Z
1Hog0O0aHRFsSsX,Document,2023 Music Economics Report,,,,"Music Biz,financial report,streaming,independent artists,music industry,financial transparency,catalog sales,streaming revenue,artist empowerment,music economics",2024-11-16T21:28:42Z
1Hog0O0aMtnmSP6,TikTokPost,Email CTA marketing,https://www.tiktok.com/t/ZTY83Ef9e/,,,"TikTok,Professional Development,Marketing Strategy,Business Tips,Engagement,Email Marketing,Communication Skills,Marketing Strategies,Email Signatures,Marketing",2024-11-17T01:54:58Z
1Hog0O0aNW2Nttq,YouTubeVideo,How To Get Your Employees To Do What You Want,https://youtube.com/shorts/-0JAf3NZqBc?si=xwJyPz8GmWb8l8os,,,"watch later,Hiring,business management,business education,personal development,scaling businesses,leadership,entrepreneurship,business strategies,employee motivation,business growth,employee engagement,Business,video,100M Leads,100M Offers,mozination,The Game Podcast,Skill Stacking,Skillsets,Business tips,Business guides,Hormozi,Alex Hormozi Gym Launch Secrets,Alex Hormozi Business Tips,Alex Hormozi",2024-11-17T03:19:28Z
1Hog0O0b3wSDuva,YouTubeVideo,How to succeed in business,https://youtube.com/shorts/IMc2WbaigHE?si=l0u5YIcW0G7dAwpF,,,"watch later,Business Strategy,Acquisition.com,CEO,business growth,Leila Hormozi,scaling,investment,entrepreneurship,Business,video,successful women,business women,business woman,business tips,business development,how to make more money,increase sales,business coaching,marketing strategy,how to be successful,business success,how to grow your business,startup entrepreneurs,entrepreneur advice,entrepreneur motivation,entrepreneurship",2024-11-17T18:20:30Z
1Hog0O0b4OKATVK,Image,Types of Music Income and Royalties,,,,"Music Biz,remix,synchronization,public performance,mechanical royalties,composition,income sources,copyright,music royalties",2024-11-17T19:34:56Z
1Hog0O0b4OKBs1P,Image,Sound Recording Royalties Breakdown,,,,"Music Biz,music licensing,music streaming,music sales,remix,synchronization,digital performance,sound recording,royalties,music industry",2024-11-17T19:34:56Z
1Hog0O0bBcZs6Xe,Image,Text Message About Being in a Funk,,,,"Life keys,Advice,work pressure,motivation,emotional state,stress,friendship,depression,mental health,text message",2024-11-19T02:46:29Z
1Hog0O0bBdUN5nK,Image,How to Get Out of a Funk,,,,"Advice,text image,advice,resilience,mindset,personal growth,challenges,adaptation,self-help,motivation",2024-11-19T02:47:21Z
1Hog0O0bBekCAhg,Image,Motivational Text on Perseverance and Purpose,,,,"Life keys,Advice,resilience,mindset,self-improvement,breakthrough,challenge,purpose,growth,perseverance,motivation",2024-11-19T02:47:44Z
1Hog0O0bBeHAZGm,Image,Motivational Text on Overcoming Challenges,,,,"Life keys,Advice,environment,transition,decision-making,suffering,purpose,change,personal growth,self-improvement,motivation",2024-11-19T02:48:05Z
1Hog0O0bBf78Tr6,Image,Motivational Text on Change and Personal Growth,,,,"Life keys,Advice,life choices,career advice,self-improvement,influence,San Francisco,environment,change,personal growth,motivation",2024-11-19T02:48:28Z
1Hog0O0bBfzvGkB,Image,Motivational Text on Overcoming Funk,,,,"Life keys,Advice,black and white,text-based,inspiration,mindset,personal growth,advice,success,self-help,motivation",2024-11-19T02:48:54Z
1Hog0O0c2Fcv90p,TikTokPost,,https://www.tiktok.com/t/ZTYYFMCBb/,,,"Virtual Assistant,Tips,ChatGPT,Automation,Business,Productivity,AI Tools,Work Management,AI,Technology,virtualassistant,zapier,zapierpartner,productivitytips,notiontutorial,aiautomation,aitutorial,chatgpt,learnai,aiforbusiness,aitools",2024-11-20T05:12:51Z
1Hog0O0c3csH0pR,TikTokPost,,https://www.tiktok.com/t/ZTYYYJcrH/,,,"website,User Experience,Online Stores,Web Design,Customization,Themes,Shopify,Shopify Tutorials,E-commerce,Web Development,Website Development,shopifyapps,shopifytips,shopifytutorial,shopifythemes,shopify",2024-11-20T05:43:50Z
1Hog0O0dCDyln83,InstagramReel,,https://www.instagram.com/reel/DCrekx0zNMC/?igsh=MThhb3dmMXFjdWpjMQ==,,,"business management,Hiring,Innovation,Leadership,Equity,Startups,Investor Insights,Business Strategy,Entrepreneurship,Business",2024-11-24T03:33:46Z
1Hog0O0eGqqMLxo,WebPage,Yappi - Simplify Your Business Communication with AI-Powered Calls,https://yappi.ai/,,,"Software,Innovation,Automation,Productivity,Artificial Intelligence,Technology",2024-11-26T18:55:02Z
1Hog0O0f9eONACv,WebPage,Home-4,https://www.fyxer.com/home-4?ref=taaft,,,"AI,task automation,meeting notes,productivity,email management,AI assistant,white,blue,AI Tools",2024-11-27T22:39:50Z
1Hog0O0fw0byKVI,WebPage,Book Printer,https://www.48hrbooks.com/,,,"Resources,Paperback,Hardcover,Quality Printing,Authors,Custom Covers,Quick Service,Book Printing,Self-Publishing,Cardboard,Paper,Black and White,Color,Printing Services",2024-11-28T20:35:09Z
1Hog0O0fwfMjnC9,WebPage,Mailbutler: The email extension that does it all - Home,https://www.mailbutler.io/,,,"AI,Workflow,Scheduling,Integration,Task Management,Collaboration,Email Tracking,Email Management,Productivity",2024-11-28T20:49:40Z
1Hog0O0fwfZlY05,WebPage,Safe AI For Mental Health Care - Youper,https://www.youper.ai/safety,,,"therapy,Evidence-based,Privacy,Safety,Chatbot,AI,Privacy Protection,User Safety,Mental Health Solutions,AI Development,Mental Health",2024-11-28T20:49:52Z
1Hog0O0fxxaRUNo,WebPage,Market with Apple Music,https://toolbox.marketingtools.apple.com/en-us/apple-music/us?_bhlid=002c66dcb90db380f55e9a5fba391b14bd9318ed,,,"marketing,streaming,audio,digital assets,content creation,Apple Music,music,Music Tools",2024-11-28T22:03:40Z
1Hog0O0fyS7FzNj,InstagramReel,,https://www.instagram.com/reel/DC2tE7TvK2r/?igsh=bzNjZzdqMTljZGJi,,,"comments,video,public perception,music,Tory Lanez,Social Media,@complex,🎥,truth?,the,telling,torylanez",2024-11-28T23:20:58Z
1Hog0O0fB9sGrEB,Post,,https://www.instagram.com/p/DChQ8dwOT-4/?igsh=dHoxb3JpbWplZTR0,,,"Instagram,Collection,Style,Photography,Lookbook,Fashion Photography,Lookbooks,Fashion Trends,Fashion",2024-11-29T01:32:41Z
1Hog0O0fCJcODrw,Post,Create a offer,https://www.instagram.com/p/DC63L0ZvG_z/?img_index=2&igsh=azgza2RsdzYxam1n,,,"offer creation,client relations,freelance advice,business strategy,entrepreneurship,marketing,small business tips,self-improvement,client acquisition,business planning,Business,getclients,smallbusinesshelp,howtobiz,freelancedesignadvice,irresistibleoffer,smallbusinesscoach,freelancedesigner,marketingtips,smallbusinesstips",2024-11-29T03:03:47Z
1Hog0O0fEzMuU4a,TikTokPost,Stop having meetings,https://www.tiktok.com/t/ZTYkKvFno/,,,"business management,businessadvice,career,worklife,meetings,entrepreneurship,productivity,business tips,Business,officelife,career,worklife,meetings,entrepreneurship,entrepreneur,businessstories,businesstips,businessadvice,Business,JasonCitron,HarryStebbings,—,bio.,in,Link,Citron.,Jason,CEO,&,Founder,Discord,with,20VC",2024-11-29T04:50:33Z
1Hog0O0glgrB67t,Post,Carousel Post Marketing Example,https://www.instagram.com/p/DC9sJSXvsEp/?img_index=2&igsh=MWtrZTM3NG50OGd2eA==,,,"Marketing examples,Marketing,Holiday Season,Wealth Building,Ownership,Fanbase,Investment",2024-11-30T21:57:05Z
1Hog0O0gOQAUPzb,Post,,https://www.instagram.com/p/DDC_OCGSrF_/?img_index=13&igsh=MWdhYzV5dG40OWM5bQ==,,,"business management,work-life balance,entrepreneurship,hiring help,freelance,delegation,creative growth,business advice,scaling,freelance design,small business,Business,delegatetoelevate,freelancedesigner,freelancedesign,smallbusinessadvice,smallbusinesscoach",2024-12-02T02:26:24Z
1Hog0O0heu92AnM,Post,Music Publishing,https://www.instagram.com/p/DDFJvIhRq9-/?igsh=MXJmeHIydTcwbXJ4NQ==,,,"Music Publishing,Music Biz,financial earnings,copyright,music industry,metadata,royalties,legal,finance,music,Social Media Post",2024-12-03T03:07:46Z
1Hog0O0hDWeVwTW,Article,The Challenge is the Opportunity,https://open.substack.com/pub/thebag/p/the-challenge-is-the-opportunity?r=e7lam&utm_campaign=post&utm_medium=web,,,"read later,Life keys,Mentorship,Music Industry,Motivation,Success Stories,Personal Growth,Entrepreneurship,Music,Reinvention,Resilience,Agency,Personal Development",2024-12-04T03:38:27Z
1Hog0O0i31TRpDD,TikTokPost,,https://www.tiktok.com/t/ZTYycbHG8/,,,"Company Program,Compliance,Terms,TikTok,Community Guidelines,Legal,Social Media,Policies,fy",2024-12-05T03:48:14Z
1Hog0O0ien94nbK,YouTubeVideo,How To Start A YouTube Ad From Start To Finish.,https://youtu.be/m2tPwsFkVy0,,,"watch later,Ads,Digital Marketing,Video Ads,Social Media,Marketing,Advertising,Video Marketing,Advertising Techniques,YouTube,Education,video,Music business,Music marketing,Promogod",2024-12-05T14:43:37Z
1Hog0O0in6FqY42,TikTokPost,,https://www.tiktok.com/t/ZTYfxtorh/,,,"Life keys,TikTok,Frustration,Job Satisfaction,Work-Life Balance,Mental Health,Social Media,Worklife",2024-12-05T23:08:17Z
1Hog0O0iukxAVIP,TikTokPost,,https://www.tiktok.com/t/ZTYfWtVCt/,,,"Music Biz,creative,modern,unique design,trendy,polyester,cotton,green,blue,red,Fashion,entertainmentlaw,musiclaw,musicindustry",2024-12-06T06:05:40Z
1Hog0O0iRft4C6z,TikTokPost,,https://www.tiktok.com/t/ZTYPpmS3N/,,,"Ads,contentcreation,socialmedia,marketing,advertising,branding,Social Media,instagramgrowth,marketing,advertising,branding",2024-12-07T04:09:53Z
1Hog0O0j3qw793Z,TikTokPost,,https://www.tiktok.com/t/ZTY5ef4rv/,,,"AI,guest appearances,entrepreneurship,networking,personal branding,content creation,branding,AI tools,podcasting,digital marketing,Podcasts,podcastmarketing,publicrelations,digitalmarketing,personalbranding",2024-12-07T15:53:32Z
